date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:49	130600/130600	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221fe28-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.ttf	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.ttf	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:49	703999/703999	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22abdff-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.svg	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.svg	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:50	34394/34394	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22865a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.eot	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:50	34394/34394	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22865a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.eot?	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:50	13584/13584	---M--	200	added ('OK')	text/html	etag:%223510-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.woff2	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.html	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:50	16804/16804	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2241a4-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.woff	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.woff	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:51	34096/34096	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%228530-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.ttf	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.ttf	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:51	145255/145255	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2223767-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.svg	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.svg	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:51	192758/192758	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222f0f6-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.eot	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:51	192758/192758	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222f0f6-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.eot?	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900d41d.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
